workerid,correct,condition,gameId,selected,orig_trialNum,orig_repNum,matcher_trialNum,matcher_repNum,target,original_pct_correct,message_history,target_history,message
5029,TRUE,random,MDLyuv29jevaGLSeT,D,39,3,0,0,D,1,[],[],"[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]"
5029,TRUE,random,x8BXJBHh3RxchPoHv,B,2,0,1,0,B,0.25,[],[],"[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]"
5029,TRUE,random,22dyGMRgestp8u5Lc,E,39,3,2,0,E,1,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]"
5029,TRUE,random,zviCQXNM4xWoYTmoY,A,7,0,3,0,A,0.8,[],[],"[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]"
5029,TRUE,random,MDLyuv29jevaGLSeT,D,68,5,4,0,D,1,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]]","[""D""]","[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]"
5029,TRUE,random,LzNv7CD7gRuxpk7cQ,G,70,5,5,0,G,1,[],[],"[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]"
5029,TRUE,random,MEJ8y7jRW4947MPrH,L,24,2,6,0,L,1,[],[],"[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]"
5029,TRUE,random,rSMFkjhskBteiyQMB,F,56,4,7,0,F,1,[],[],"[{""role"":""describer"",""text"":""depressed man bent knee"",""message_number"":1}]"
5029,TRUE,random,x8BXJBHh3RxchPoHv,E,12,1,8,0,E,1,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]]","[""B""]","[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}]"
5029,FALSE,random,22dyGMRgestp8u5Lc,C,35,2,9,0,A,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]"
