gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs,model_prediction
rSMFkjhskBteiyQMB,0,0,K,0.6666666666666666,[],[],[False],['C'],"[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]",yoked,"{'B': -0.47468310594558716, 'A': -0.9746831059455872, 'C': -7.4746832847595215, 'D': -11.474682807922363, 'H': -26.22468376159668, 'E': -26.97468376159668, 'G': -28.22468376159668, 'F': -29.47468376159668, 'I': -31.72468376159668, 'L': -34.97468185424805, 'K': -36.47468185424805, 'J': -37.97468185424805}",B
rSMFkjhskBteiyQMB,1,0,F,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]",yoked,"{'B': -33.290931701660156, 'A': -36.290931701660156, 'C': -4.540933609008789, 'D': -7.790933609008789, 'E': -18.54093360900879, 'F': -19.79093360900879, 'H': -21.79093360900879, 'G': -25.79093360900879, 'I': -31.54093360900879, 'L': -33.790931701660156, 'J': -34.540931701660156, 'K': -36.290931701660156}",C
rSMFkjhskBteiyQMB,2,0,H,1.0,[],[],[False],['C'],"[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]",yoked,"{'B': -35.26386260986328, 'A': -4.513864517211914, 'C': -8.013864517211914, 'D': -10.263864517211914, 'H': -15.263864517211914, 'E': -17.513864517211914, 'F': -19.263864517211914, 'G': -19.513864517211914, 'J': -28.763864517211914, 'I': -31.763864517211914, 'L': -33.01386260986328, 'K': -36.01386260986328}",A
rSMFkjhskBteiyQMB,3,0,J,0.6666666666666666,[],[],[False],['B'],"[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]",yoked,"{'B': -0.014477447606623173, 'A': -5.014477252960205, 'C': -5.014477252960205, 'D': -7.514477252960205, 'F': -16.264476776123047, 'H': -16.514476776123047, 'G': -18.264476776123047, 'E': -19.764476776123047, 'L': -22.514476776123047, 'K': -25.764476776123047, 'J': -26.014476776123047, 'I': -28.764476776123047}",B
rSMFkjhskBteiyQMB,4,0,D,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]",yoked,"{'A': -35.000003814697266, 'B': -12.500003814697266, 'C': -14.500003814697266, 'D': -18.750003814697266, 'H': -23.250003814697266, 'E': -23.750003814697266, 'F': -25.500003814697266, 'G': -27.250003814697266, 'J': -36.000003814697266, 'I': -37.500003814697266, 'L': -39.750003814697266, 'K': -42.000003814697266}",B
rSMFkjhskBteiyQMB,5,0,I,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]",yoked,"{'B': -33.88190460205078, 'C': -33.38190460205078, 'D': -5.881904125213623, 'A': -6.131904125213623, 'E': -13.881903648376465, 'F': -18.13190460205078, 'H': -21.88190460205078, 'G': -22.38190460205078, 'I': -31.13190460205078, 'J': -31.38190460205078, 'L': -32.38190460205078, 'K': -34.38190460205078}",D
rSMFkjhskBteiyQMB,6,0,B,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]",yoked,"{'B': -33.761253356933594, 'A': -38.011253356933594, 'C': -8.511252403259277, 'D': -14.011252403259277, 'E': -25.511253356933594, 'H': -28.261253356933594, 'G': -30.011253356933594, 'F': -30.261253356933594, 'I': -34.761253356933594, 'L': -39.011253356933594, 'J': -39.261253356933594, 'K': -40.761253356933594}",C
rSMFkjhskBteiyQMB,7,0,L,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]",yoked,"{'B': -36.50300979614258, 'A': -6.503009796142578, 'C': -6.503009796142578, 'D': -13.503009796142578, 'E': -21.503009796142578, 'F': -27.253009796142578, 'G': -29.753009796142578, 'H': -30.003009796142578, 'I': -33.50300979614258, 'L': -37.50300979614258, 'K': -38.25300979614258, 'J': -38.75300979614258}",A
rSMFkjhskBteiyQMB,8,0,C,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]",yoked,"{'A': -34.54867935180664, 'B': -40.04867935180664, 'C': -9.29867935180664, 'D': -16.04867935180664, 'E': -23.79867935180664, 'H': -25.04867935180664, 'F': -26.29867935180664, 'G': -28.04867935180664, 'I': -35.04867935180664, 'J': -35.29867935180664, 'L': -37.04867935180664, 'K': -40.29867935180664}",C
rSMFkjhskBteiyQMB,9,0,G,1.0,[],[],[False],['B'],"[{""role"":""describer"",""text"":""This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down"",""message_number"":1},{""role"":""describer"",""text"":""it connects to a bigger 4 sided shape at the bottom (trapezium ) with a smaller triangle on the right hand side"",""message_number"":2},{""role"":""describer"",""text"":""kind of looks like a dog to me"",""message_number"":3}]",yoked,"{'A': -37.066490173339844, 'B': -39.316490173339844, 'C': -5.816491603851318, 'D': -8.31649112701416, 'E': -17.566492080688477, 'F': -19.066492080688477, 'H': -20.566492080688477, 'G': -22.816492080688477, 'I': -35.316490173339844, 'J': -35.816490173339844, 'L': -36.566490173339844, 'K': -39.816490173339844}",C
rSMFkjhskBteiyQMB,10,0,A,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This one looks like a person dancing They have one foot on the floor and another foot is raised"",""message_number"":1},{""role"":""matcher"",""text"":""is their head tilted back"",""message_number"":2},{""role"":""describer"",""text"":""their ears are made from a square shape"",""message_number"":3},{""role"":""describer"",""text"":""and then another 4 sided shape"",""message_number"":4},{""role"":""matcher"",""text"":""it's the last one we haven't selected"",""message_number"":5},{""role"":""matcher"",""text"":""it's the one with 2 heads almost"",""message_number"":6}]",yoked,"{'D': -34.76883316040039, 'E': -7.518831729888916, 'A': -9.518831253051758, 'C': -11.018831253051758, 'B': -14.268831253051758, 'H': -14.518831253051758, 'F': -14.768831253051758, 'G': -20.268831253051758, 'I': -30.518831253051758, 'L': -33.01883316040039, 'J': -37.26883316040039, 'K': -38.76883316040039}",E
rSMFkjhskBteiyQMB,11,0,E,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",yoked,"{'B': -0.2105761617422104, 'A': -1.7105761766433716, 'C': -4.710576057434082, 'D': -9.710576057434082, 'F': -16.9605770111084, 'H': -17.4605770111084, 'G': -17.9605770111084, 'E': -19.7105770111084, 'L': -30.2105770111084, 'I': -30.4605770111084, 'K': -30.4605770111084, 'J': -31.7105770111084}",B
