gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
rSMFkjhskBteiyQMB,0,0,K,0.6666666666666666,[],[],"[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]",yoked,"{'C': -2.082141160964966, 'A': -1.8008911609649658, 'D': -2.019641160964966, 'B': -2.050891160964966, 'J': -2.254016160964966, 'H': -2.722766160964966, 'F': -2.800891160964966, 'G': -2.894641160964966, 'K': -2.894641160964966, 'E': -3.066516160964966, 'L': -3.347766160964966, 'I': -3.769641160964966}"
rSMFkjhskBteiyQMB,1,0,F,1.0,[],[],"[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]",yoked,"{'A': -2.4794464111328125, 'F': -0.9794463515281677, 'E': -2.0731964111328125, 'G': -2.7138214111328125, 'B': -2.7294464111328125, 'J': -2.7763214111328125, 'K': -2.8856964111328125, 'D': -2.9481964111328125, 'H': -3.3388214111328125, 'C': -3.6200714111328125, 'I': -3.6981964111328125, 'L': -3.7606964111328125}"
rSMFkjhskBteiyQMB,2,0,H,1.0,[],[],"[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]",yoked,"{'K': -2.2623772621154785, 'J': -1.153002142906189, 'H': -2.1842522621154785, 'L': -2.4655022621154785, 'I': -2.4967522621154785, 'A': -2.5436272621154785, 'D': -2.6373772621154785, 'B': -2.9498772621154785, 'C': -2.9967522621154785, 'G': -4.2780022621154785, 'F': -4.3405022621154785, 'E': -4.5123772621154785}"
rSMFkjhskBteiyQMB,3,0,J,0.6666666666666666,[],[],"[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]",yoked,"{'D': -2.1391942501068115, 'A': -1.9516942501068115, 'C': -2.3110692501068115, 'H': -2.3891942501068115, 'B': -2.4048192501068115, 'K': -2.4048192501068115, 'J': -2.4204442501068115, 'F': -2.7173192501068115, 'G': -2.8735692501068115, 'L': -2.9204442501068115, 'E': -2.9516942501068115, 'I': -3.0454442501068115}"
rSMFkjhskBteiyQMB,4,0,D,1.0,[],[],"[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]",yoked,"{'D': -2.560405731201172, 'A': -1.3572806119918823, 'I': -1.7166556119918823, 'J': -2.247905731201172, 'B': -2.435405731201172, 'C': -2.716655731201172, 'H': -2.919780731201172, 'E': -3.029155731201172, 'K': -3.232280731201172, 'F': -3.638530731201172, 'G': -3.669780731201172, 'L': -3.685405731201172}"
rSMFkjhskBteiyQMB,5,0,I,1.0,[],[],"[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]",yoked,"{'J': -3.8405938148498535, 'G': -1.668718695640564, 'A': -1.840593695640564, 'I': -1.840593695640564, 'C': -2.1218438148498535, 'K': -2.3718438148498535, 'F': -2.7624688148498535, 'E': -3.0593438148498535, 'B': -3.0749688148498535, 'D': -3.1843438148498535, 'L': -3.4968438148498535, 'H': -3.5593438148498535}"
rSMFkjhskBteiyQMB,6,0,B,1.0,[],[],"[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]",yoked,"{'A': -1.6876009702682495, 'B': -1.4532259702682495, 'C': -2.171976089477539, 'D': -2.406351089477539, 'H': -2.656351089477539, 'E': -2.906351089477539, 'G': -2.937601089477539, 'K': -3.187601089477539, 'J': -3.234476089477539, 'F': -3.281351089477539, 'I': -3.437601089477539, 'L': -3.562601089477539}"
rSMFkjhskBteiyQMB,7,0,L,1.0,[],[],"[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]",yoked,"{'F': -2.702958583831787, 'D': -1.6873334646224976, 'A': -1.7342084646224976, 'C': -1.9842084646224976, 'B': -2.031083583831787, 'H': -2.656083583831787, 'J': -2.812333583831787, 'G': -2.984208583831787, 'K': -3.093583583831787, 'E': -3.296708583831787, 'L': -3.499833583831787, 'I': -4.796708583831787}"
rSMFkjhskBteiyQMB,8,0,C,1.0,[],[],"[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]",yoked,"{'B': -1.6990585327148438, 'C': -0.9803085327148438, 'A': -1.5271835327148438, 'D': -2.3240585327148438, 'G': -3.4178085327148438, 'H': -3.5896835327148438, 'E': -3.8084335327148438, 'J': -4.417808532714844, 'F': -4.433433532714844, 'K': -4.824058532714844, 'I': -5.120933532714844, 'L': -5.167808532714844}"
rSMFkjhskBteiyQMB,9,0,G,1.0,[],[],"[{""role"":""describer"",""text"":""This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down"",""message_number"":1},{""role"":""describer"",""text"":""it connects to a bigger 4 sided shape at the bottom (trapezium ) with a smaller triangle on the right hand side"",""message_number"":2},{""role"":""describer"",""text"":""kind of looks like a dog to me"",""message_number"":3}]",yoked,"{'L': -2.865683078765869, 'J': -2.037558078765869, 'G': -2.084433078765869, 'F': -2.287558078765869, 'K': -2.303183078765869, 'B': -2.521933078765869, 'D': -2.537558078765869, 'H': -2.537558078765869, 'I': -2.646933078765869, 'A': -2.662558078765869, 'C': -2.865683078765869, 'E': -3.037558078765869}"
rSMFkjhskBteiyQMB,10,0,A,1.0,[],[],"[{""role"":""describer"",""text"":""This one looks like a person dancing They have one foot on the floor and another foot is raised"",""message_number"":1},{""role"":""matcher"",""text"":""is their head tilted back"",""message_number"":2},{""role"":""describer"",""text"":""their ears are made from a square shape"",""message_number"":3},{""role"":""describer"",""text"":""and then another 4 sided shape"",""message_number"":4},{""role"":""matcher"",""text"":""it's the last one we haven't selected"",""message_number"":5},{""role"":""matcher"",""text"":""it's the one with 2 heads almost"",""message_number"":6}]",yoked,"{'C': -1.4267812967300415, 'B': -1.4111562967300415, 'G': -2.067406177520752, 'A': -2.473656177520752, 'D': -2.708031177520752, 'H': -2.895531177520752, 'L': -3.239281177520752, 'J': -3.286156177520752, 'F': -3.489281177520752, 'K': -3.504906177520752, 'E': -3.645531177520752, 'I': -4.036156177520752}"
rSMFkjhskBteiyQMB,11,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",yoked,"{'J': -2.854661464691162, 'A': -1.6359113454818726, 'B': -1.8859113454818726, 'D': -1.9796613454818726, 'C': -2.167161464691162, 'H': -2.589036464691162, 'E': -2.792161464691162, 'I': -2.870286464691162, 'K': -2.901536464691162, 'G': -3.260911464691162, 'F': -3.510911464691162, 'L': -3.698411464691162}"
