workerid,correct,condition,gameId,selected,orig_trialNum,orig_repNum,matcher_trialNum,matcher_repNum,target,original_pct_correct,message_history,target_history,message,model_logprobs
5029,True,random,MDLyuv29jevaGLSeT,D,39,3,0,0,D,1.0,[],[],"[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]","{'E': -2.036222457885742, 'D': -1.4112224578857422, 'C': -1.5362224578857422, 'A': -1.6612224578857422, 'B': -1.9112224578857422, 'F': -3.661222457885742, 'G': -4.661222457885742, 'H': -4.661222457885742, 'I': -5.161222457885742, 'J': -6.661222457885742, 'L': -7.286222457885742, 'K': -7.411222457885742}"
5029,True,random,x8BXJBHh3RxchPoHv,B,2,0,1,0,B,0.25,[],[],"[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]","{'B': -2.109987735748291, 'D': -1.234987735748291, 'C': -1.484987735748291, 'E': -1.734987735748291, 'A': -2.359987735748291, 'F': -3.234987735748291, 'G': -3.984987735748291, 'H': -4.109987735748291, 'I': -5.484987735748291, 'J': -6.359987735748291, 'K': -6.359987735748291, 'L': -7.484987735748291}"
5029,True,random,22dyGMRgestp8u5Lc,E,39,3,2,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]","{'C': -1.453326940536499, 'A': -1.453326940536499, 'D': -1.578326940536499, 'E': -1.953326940536499, 'B': -2.078326940536499, 'F': -4.453327178955078, 'I': -4.453327178955078, 'H': -4.828327178955078, 'G': -5.328327178955078, 'J': -6.703327178955078, 'L': -7.328327178955078, 'K': -7.828327178955078}"
5029,True,random,zviCQXNM4xWoYTmoY,A,7,0,3,0,A,0.8,[],[],"[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]","{'E': -1.682112216949463, 'D': -1.307112216949463, 'C': -1.557112216949463, 'B': -2.057112216949463, 'A': -2.432112216949463, 'F': -3.182112216949463, 'G': -3.682112216949463, 'H': -3.682112216949463, 'I': -4.807112216949463, 'J': -5.557112216949463, 'K': -5.932112216949463, 'L': -6.557112216949463}"
5029,True,random,MDLyuv29jevaGLSeT,D,68,5,4,0,D,1.0,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]]","[""D""]","[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]","{'D': -0.7202112674713135, 'E': -2.2202112674713135, 'C': -2.3452112674713135, 'B': -2.4702112674713135, 'A': -2.5952112674713135, 'F': -2.8452112674713135, 'G': -3.4702112674713135, 'H': -3.7202112674713135, 'I': -4.470211029052734, 'J': -4.970211029052734, 'L': -5.470211029052734, 'K': -5.720211029052734}"
5029,True,random,LzNv7CD7gRuxpk7cQ,G,70,5,5,0,G,1.0,[],[],"[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]","{'D': -1.5965622663497925, 'A': -1.5965622663497925, 'C': -1.5965622663497925, 'E': -1.9715622663497925, 'B': -2.096562385559082, 'I': -3.221562385559082, 'F': -4.721562385559082, 'H': -4.721562385559082, 'G': -4.971562385559082, 'J': -6.221562385559082, 'L': -7.096562385559082, 'K': -7.596562385559082}"
5029,True,random,MEJ8y7jRW4947MPrH,L,24,2,6,0,L,1.0,[],[],"[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]","{'C': -1.4997098445892334, 'D': -1.4997098445892334, 'E': -1.7497098445892334, 'B': -1.9997098445892334, 'A': -2.3747098445892334, 'F': -2.9997098445892334, 'G': -3.3747098445892334, 'H': -3.3747098445892334, 'I': -4.6247100830078125, 'J': -4.8747100830078125, 'K': -5.2497100830078125, 'L': -6.4997100830078125}"
5029,True,random,rSMFkjhskBteiyQMB,F,56,4,7,0,F,1.0,[],[],"[{""role"":""describer"",""text"":""depressed man bent knee"",""message_number"":1}]","{'C': -1.5773392915725708, 'D': -1.3273392915725708, 'A': -1.8273392915725708, 'E': -1.9523392915725708, 'B': -2.0773391723632812, 'F': -3.7023391723632812, 'G': -4.202339172363281, 'H': -4.327339172363281, 'I': -4.577339172363281, 'J': -5.827339172363281, 'K': -6.452339172363281, 'L': -6.702339172363281}"
5029,True,random,x8BXJBHh3RxchPoHv,E,12,1,8,0,E,1.0,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]]","[""B""]","[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}]","{'D': -1.412089467048645, 'E': -1.537089467048645, 'C': -1.787089467048645, 'A': -1.912089467048645, 'F': -2.2870893478393555, 'B': -2.7870893478393555, 'G': -3.2870893478393555, 'H': -4.1620893478393555, 'I': -5.4120893478393555, 'J': -6.1620893478393555, 'K': -7.6620893478393555, 'L': -8.162089347839355}"
5029,False,random,22dyGMRgestp8u5Lc,C,35,2,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]","{'B': -1.895060420036316, 'D': -1.645060420036316, 'C': -1.895060420036316, 'A': -2.0200605392456055, 'F': -2.1450605392456055, 'G': -2.5200605392456055, 'H': -2.6450605392456055, 'I': -3.5200605392456055, 'E': -3.6450605392456055, 'J': -3.7700605392456055, 'K': -4.8950605392456055, 'L': -5.3950605392456055}"
